               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.031363,            0.020006,           0.0052931,              0.6683,             0.76528,             0.75426,             0.42671,            0.023126,            0.010967,           0.0085388,            0.002872,            0.002872,            0.002872
                 110,             0.02932,             0.01837,            0.006124,             0.68662,             0.76406,             0.76907,             0.43159,            0.024267,            0.010873,           0.0088409,            0.002806,            0.002806,            0.002806
                 111,            0.031874,            0.016786,           0.0056898,             0.68298,             0.80417,             0.77444,             0.43348,            0.023648,            0.010722,           0.0088135,             0.00274,             0.00274,             0.00274
                 112,            0.029835,            0.018133,           0.0045542,              0.6706,             0.78618,             0.77244,             0.43406,            0.022676,            0.010612,           0.0095398,            0.002674,            0.002674,            0.002674
                 113,            0.028935,            0.018542,           0.0040447,              0.6616,              0.7863,             0.74905,              0.4244,            0.022602,            0.010515,            0.010168,            0.002608,            0.002608,            0.002608
                 114,            0.028276,            0.016972,           0.0031104,             0.65944,             0.78604,             0.75483,             0.45394,              0.0224,            0.010554,            0.010757,            0.002542,            0.002542,            0.002542
                 115,            0.027364,             0.01749,           0.0044075,             0.65709,             0.79632,             0.74659,             0.42026,            0.023951,            0.010476,            0.011368,            0.002476,            0.002476,            0.002476
                 116,             0.02609,            0.020561,           0.0053208,              0.6519,             0.78939,             0.76258,             0.42134,             0.02315,            0.010748,            0.011359,             0.00241,             0.00241,             0.00241
                 117,            0.028161,            0.019717,           0.0036344,             0.67276,             0.74733,             0.77184,             0.43943,            0.024742,            0.010977,            0.012201,            0.002344,            0.002344,            0.002344
                 118,            0.030639,            0.019846,           0.0033214,             0.66687,             0.73274,             0.75087,             0.40682,            0.024239,            0.011018,            0.012225,            0.002278,            0.002278,            0.002278
                 119,            0.029847,            0.018905,           0.0055633,             0.61228,             0.80417,             0.75297,             0.42166,            0.024419,            0.011057,               0.013,            0.002212,            0.002212,            0.002212
                 120,            0.027874,            0.018494,            0.005286,             0.62978,             0.74782,              0.7348,             0.39882,            0.024731,            0.011156,            0.013885,            0.002146,            0.002146,            0.002146
                 121,            0.026688,            0.019065,           0.0036603,             0.71583,             0.69005,             0.68012,             0.38058,            0.024629,             0.01129,            0.013544,             0.00208,             0.00208,             0.00208
                 122,            0.030788,            0.020114,           0.0051551,             0.70032,             0.68467,             0.69111,             0.39302,            0.024039,            0.011195,             0.01413,            0.002014,            0.002014,            0.002014
                 123,            0.027275,            0.017547,           0.0035486,             0.73053,             0.68359,             0.71574,             0.40718,            0.024168,            0.011172,            0.013202,            0.001948,            0.001948,            0.001948
                 124,            0.027608,            0.018324,            0.004082,             0.72828,             0.67882,             0.75342,             0.42242,            0.023845,            0.011297,            0.012512,            0.001882,            0.001882,            0.001882
                 125,             0.02844,            0.017022,           0.0050357,             0.62628,             0.79952,             0.74602,             0.40877,            0.023982,             0.01144,             0.01192,            0.001816,            0.001816,            0.001816
                 126,            0.026533,            0.019395,           0.0027282,             0.62261,             0.80417,             0.77956,             0.43865,            0.024473,            0.011612,            0.012146,             0.00175,             0.00175,             0.00175
                 127,            0.024892,            0.016913,           0.0032768,             0.61561,             0.80417,             0.75307,             0.42534,            0.023799,            0.011737,            0.012024,            0.001684,            0.001684,            0.001684
                 128,            0.027048,            0.019191,           0.0028368,             0.61534,             0.80097,             0.76468,             0.41555,            0.024528,             0.01192,            0.012091,            0.001618,            0.001618,            0.001618
                 129,            0.025966,            0.019264,           0.0029233,             0.61203,             0.80137,             0.77288,             0.42877,            0.024002,            0.011842,            0.012064,            0.001552,            0.001552,            0.001552
                 130,            0.026203,            0.017434,           0.0024701,             0.63469,             0.76629,             0.77487,             0.43707,            0.023727,            0.011664,            0.011789,            0.001486,            0.001486,            0.001486
                 131,            0.026462,            0.020427,           0.0025946,             0.63498,             0.76457,              0.7719,             0.43406,            0.023405,            0.011804,            0.011917,             0.00142,             0.00142,             0.00142
                 132,            0.025932,            0.017641,           0.0029798,             0.63563,             0.77251,             0.77296,              0.4423,            0.023785,            0.011865,             0.01189,            0.001354,            0.001354,            0.001354
                 133,            0.026165,            0.021564,           0.0041383,             0.63529,             0.76858,             0.76178,             0.42808,            0.023882,            0.011874,            0.012027,            0.001288,            0.001288,            0.001288
                 134,            0.024431,            0.017336,            0.002152,             0.61218,             0.79927,             0.75398,             0.43397,            0.023891,            0.011787,            0.012027,            0.001222,            0.001222,            0.001222
                 135,            0.024279,            0.015861,           0.0021605,             0.63436,             0.77412,             0.75102,             0.42145,            0.023333,            0.011641,            0.011816,            0.001156,            0.001156,            0.001156
                 136,            0.026803,            0.020198,           0.0029202,             0.64087,             0.77383,              0.7413,             0.42147,            0.023962,            0.011554,            0.011603,             0.00109,             0.00109,             0.00109
                 137,            0.028501,            0.018133,           0.0033294,             0.64134,             0.77113,             0.74094,             0.43749,             0.02338,            0.011583,            0.011304,            0.001024,            0.001024,            0.001024
                 138,            0.025891,            0.021688,           0.0037445,              0.6612,             0.77083,             0.72801,              0.4289,            0.023514,            0.011437,            0.011334,            0.000958,            0.000958,            0.000958
                 139,            0.025848,            0.018175,           0.0023525,             0.66492,             0.77083,             0.72949,              0.4366,            0.023387,            0.011415,            0.011163,            0.000892,            0.000892,            0.000892
                 140,            0.025394,            0.018714,           0.0044568,             0.66584,             0.76949,             0.73003,             0.43324,            0.023404,            0.011459,            0.011002,            0.000826,            0.000826,            0.000826
                 141,            0.025805,            0.016602,           0.0032139,             0.66499,             0.77063,             0.72593,             0.43103,            0.023216,            0.011475,            0.010852,             0.00076,             0.00076,             0.00076
                 142,            0.025816,            0.017245,           0.0049565,              0.6635,             0.77062,             0.72602,             0.42288,            0.023368,            0.011565,            0.010748,            0.000694,            0.000694,            0.000694
                 143,            0.025354,            0.016877,           0.0026309,               0.663,             0.76688,             0.72848,             0.42365,            0.023354,             0.01169,            0.010489,            0.000628,            0.000628,            0.000628
                 144,             0.02413,            0.017514,           0.0017695,             0.66138,             0.76591,              0.7212,             0.43016,             0.02325,            0.011777,            0.010468,            0.000562,            0.000562,            0.000562
                 145,            0.025053,            0.016628,           0.0021606,             0.65634,             0.75315,             0.71657,             0.42317,            0.023444,             0.01183,            0.010318,            0.000496,            0.000496,            0.000496
                 146,            0.024372,            0.017169,           0.0029794,             0.64051,             0.77328,             0.72349,             0.43033,            0.023425,            0.011876,            0.010229,             0.00043,             0.00043,             0.00043
                 147,            0.023309,            0.016676,           0.0021693,             0.64161,             0.77486,             0.72881,             0.43036,            0.023284,            0.011893,            0.010168,            0.000364,            0.000364,            0.000364
                 148,            0.025496,            0.019991,           0.0050758,             0.64675,             0.77083,             0.72209,             0.42523,            0.023216,            0.011891,            0.010144,            0.000298,            0.000298,            0.000298
                 149,            0.023273,            0.016514,           0.0020681,             0.64535,             0.77355,             0.73016,             0.43054,            0.023141,            0.011917,            0.010162,            0.000232,            0.000232,            0.000232
